t_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,energy_J,status
1250.0,99999989631.65369,37499998.70390893,0.0,-16.589354082942286,29999.996889381444,0.0,-877172568.7866356,ok
1260.0,99999989465.09657,37799998.67255323,0.0,-16.7220689152875,29999.996839412466,0.0,-877172568.7866359,ok
1270.0,99999989297.21231,38099998.64069585,0.0,-16.854783747625106,29999.99678904533,0.0,-877172568.7866356,ok
1280.0,99999989128.0009,38399998.608332805,0.0,-16.98749857995504,29999.996738280035,0.0,-877172568.7866355,ok
1290.0,99999988957.46234,38699998.57546012,0.0,-17.12021341227725,29999.996687116578,0.0,-877172568.7866356,ok
1300.0,99999988785.59663,38999998.54207381,0.0,-17.252928244591665,29999.996635554962,0.0,-877172568.7866354,ok
1310.0,99999988612.40378,39299998.50816989,0.0,-17.38564307689823,29999.996583595188,0.0,-877172568.7866354,ok
1320.0,99999988437.88377,39599998.473744385,0.0,-17.518357909196883,29999.996531237255,0.0,-877172568.7866356,ok
1330.0,99999988262.03662,39899998.43879331,0.0,-17.651072741487564,29999.996478481164,0.0,-877172568.7866355,ok
1340.0,99999988084.86232,40199998.40331268,0.0,-17.783787573770212,29999.99642532691,0.0,-877172568.7866356,ok
1350.0,99999987906.36087,40499998.36729852,0.0,-17.91650240604477,29999.996371774498,0.0,-877172568.7866354,ok
1360.0,99999987726.53227,40799998.330746844,0.0,-18.049217238311176,29999.996317823927,0.0,-877172568.7866355,ok
1370.0,99999987545.37653,41099998.293653674,0.0,-18.181932070569367,29999.996263475197,0.0,-877172568.7866359,ok
1380.0,99999987362.89363,41399998.256015025,0.0,-18.314646902819284,29999.99620872831,0.0,-877172568.7866356,ok
1390.0,99999987179.08359,41699998.21782692,0.0,-18.447361735060866,29999.996153583263,0.0,-877172568.7866354,ok
1400.0,99999986993.9464,41999998.17908537,0.0,-18.580076567294054,29999.996098040054,0.0,-877172568.7866354,ok
1410.0,99999986807.48206,42299998.13978639,0.0,-18.71279139951879,29999.996042098686,0.0,-877172568.7866355,ok
1420.0,99999986619.69057,42599998.09992601,0.0,-18.84550623173501,29999.99598575916,0.0,-877172568.7866356,ok
